Gender,District,Party,Name,Twitter Account,Winner/Loser,Partisan Change,Running for
Female,Iowa's 1st,Democrat,Abby Finkenauer,@Abby4Iowa ,Winner,Yes,House
Female,Iowa's 3rd,Democrat,Cindy Axne,@Axne4Congress ,Winner,Yes,House
Male,Kansas' 2nd,Republican,Steve Watkins,@Steve4Kansas ,Winner,No,House
Female,Kansas' 3rd,Democrat,Sharice Davids,@sharicedavids ,Winner,Yes,House
Male,Kentucky's 6th,Republican,Andy Barr,@barrforcongress ,Winner,No,House
Male,Maine's 2nd,Democrat,Jared Golden,@golden4congress ,Winner,Yes,House
Female,Michigan's 8th,Democrat,Elissa Slotkin,@ElissaSlotkin ,Winner,Yes,House
Female,Michigan's 11th,Democrat,Haley Stevens,@HaleyLive ,Winner,Yes,House
Male,Minnesota's 1st,Republican,Jim Hagedorn,@JimHagedornMN ,Winner,Yes,House
Female,Minnesota's 2nd,Democrat,Angie Craig,@AngieCraigMN ,Winner,Yes,House
Male,Minnesota's 3rd,Democrat,Dean Phillips,@deanbphillips ,Winner,Yes,House
Male,Minnesota's 8th,Republican,Pete Stauber,@PeteStauber ,Winner,Yes,House
Male,Montana's at-large,Republican,Greg Gianforte,@GregForMontana ,Winner,No,House
Male,Nebraska's 2nd,Republican,Don Bacon,@RepDonBacon ,Winner,No,House
Female,Nevada's 3rd,Democrat,Susie Lee,@SusieLeeNV ,Winner,No,House
Male,Nevada's 4th,Democrat,Steven Horsford,@StevenHorsford ,Winner,No,House
Male,New Hampshire's 1st,Democrat,Chris Pappas,@ChrisPappasNH ,Winner,No,House
Male,New Jersey's 2nd,Democrat,Jeff Van Drew,@JeffVanDrew ,Winner,Yes,House
Male,New Jersey's 3rd,Democrat,Andy Kim,@AndyKimNJ ,Winner,Yes,House
Male,New Jersey's 7th,Democrat,Tom Malinowski,@Malinowski ,Winner,Yes,House
Female,New Jersey's 11th,Democrat,Mikie Sherrill,@MikieSherrill ,Winner,Yes,House
Female,New Mexico's 2nd,Democrat,Xochitl Torres Small,@XochforCongress ,Winner,Yes,House
Male,New York's 11th,Democrat,Max Rose,@MaxRose4NY ,Winner,Yes,House
Male,New York's 19th,Democrat,Antonio Delgado,@DelgadoforNY19 ,Winner,Yes,House
Male,New York's 22nd,Democrat,Anthony Brindisi,@ABrindisiNY ,Winner,Yes,House
Male,New York's 27th,Republican,Chris Collins,@CollinsNY27 ,Winner,No,House
Male,North Carolina's 2nd,Republican,George Holding,@GeorgeHolding ,Winner,No,House
Male,North Carolina's 9th,Republican,Mark Harris,@MarkHarrisNC9 ,Winner,No,House
Male,North Carolina's 13th,Republican,Ted Budd,@buddforcongress ,Winner,No,House
Male,Ohio's 1st,Republican,Steve Chabot,@SteveChabot ,Winner,No,House
Male,Ohio's 7th,Republican,Bob Gibbs,@Bob_Gibbs ,Winner,No,House
Male,Ohio's 12th,Republican,Troy Balderson,@Troy_Balderson,Winner,No,House
Female,Oklahoma's 5th,Democrat,Kendra Horn,@HornForCongress ,Winner,Yes,House
Male,Pennsylvania's 1st,Republican,Brian Fitzpatrick,@BrianFitzUSA ,Winner,No,House
Female,Pennsylvania's 5th,Democrat,Mary Gay Scanlon,@marygayscanlon ,Winner,Yes,House
Female,Pennsylvania's 6th,Democrat,Chrissy Houlahan,@HoulahanForPa ,Winner,Yes,House
Female,Pennsylvania's 7th,Democrat,Susan Wild,@wildforcongress ,Winner,Yes,House
Male,Pennsylvania's 14th,Republican,Guy Reschenthaler,@reschenthaler ,Winner,Yes,House
Male,Pennsylvania's 17th,Democrat,Conor Lamb,@ConorLambPA ,Winner,Yes,House
Male,South Carolina's 1st,Democrat,Joe Cunningham,@JoeCunninghamSC ,Winner,Yes,House
Female,Texas' 7th,Democrat,Lizzie Pannill Fletcher,@Lizzie4Congress ,Winner,Yes,House
Male,Texas' 23rd,Republican,Will Hurd,@WillHurd ,Winner,No,House
Male,Texas' 32nd,Democrat,Colin Allred,@ColinAllredTX ,Winner,Yes,House
Male,Utah's 4th,Democrat,Ben McAdams,@BenMcAdams ,Winner,Yes,House
Female,Virginia's 2nd,Democrat,Elaine Luria,@ElaineLuriaVA ,Winner,Yes,House
Male,Virginia's 5th,Republican,Denver Riggleman,@Denver4VA ,Winner,No,House
Female,Virginia's 7th,Democrat,Abigail Spanberger,@SpanbergerVA07 ,Winner,Yes,House
Female,Virginia's 10th,Democrat,Jennifer Wexton,@JenniferWexton ,Winner,Yes,House
Male,Washington's 3rd,Republican,Jaime Herrera Beutler,@JaimeForUSRep ,Winner,No,House
Female,Washington's 5th,Republican,Cathy McMorris Rodgers,@TeamCMR ,Winner,No,House
Female,Washington's 8th,Democrat,Kim Schrier,@DrKimSchrier ,Winner,Yes,House
Male,Washington's 9th,Democrat,Adam Smith,@JenniferWexton ,Winner,No,House
Female,West Virginia's 3rd,Republican,Carol Miller,@CarolMillerWV ,Winner,No,House
Male,Wisconsin's 1st,Republican,Bryan Steil,@BryanSteilforWI ,Winner,No,House
Female,Alaska's at-large,Democrat,Alyse Galvin,@AlyseGalvin,Loser,No,House
Male,Arkansas' 2nd,Democrat,Clarke Tucker,@clarketucker,Loser,No,House
Female,Arizona's 1st,Republican,Wendy Rogers,@WendyRogersAZ,Loser,No,House
Female,Arizona's 2nd,Republican,Lea Marquez Peterson,@LeaPeterson,Loser,Yes,House
Male,California's 8th,Republican,Tim Donnelly,@PatriotNotPol,Loser,No,House
Male,California's 10th,Republican,Jeff Denham,@JeffDenham,Loser,Yes,House
Female,California's 16th,Republican,Elizabeth Heng,@ElizabethHeng,Loser,No,House
Male,California's 22nd,Democrat,Andrew Janz,@JanzforCongress,Loser,No,House
Male,California's 25th,Republican,Stephen Knight,@Knight4Congress,Loser,Yes,House
Female,California's 39th,Republican,Young Kim,@YoungKimCD39,Loser,Yes,House
Female,California's 45th,Republican,Mimi Walters,@MimiWaltersCA,Loser,Yes,House
Female,California's 48th,Democrat,Dana Rohrabacher,@DanaRohrabacher,Loser,Yes,House
Female,California's 49th,Republican,Diane Harkey,@diane_harkey,Loser,Yes,House
Male,California's 50th,Democrat,Ammar Campa-Najjar,@ACampaNajjar,Loser,No,House
Male,Colorado's 6th,Republican,Mike Coffman,@coffmanforco,Loser,Yes,House
Female,Florida's 15th,Democrat,Kristen Carlos,@KristenForFL,Loser,No,House
Male,Florida's 16th,Democrat,David Shapiro,@Shapiro4FL16,Loser,No,House
Female,Florida's 18th,Democrat,Lauren Baer,@laurenbaer,Loser,No,House
Female,Florida's 25th,Democrat,Mary Barzee Flores,@MBFforCongress,Loser,No,House
Male,Florida's 26th,Republican,Carlos Curbelo,@carloslcurbelo,Loser,Yes,House
Female,Florida's 27th,Republican,Maria Elvira Salazar,@MaElviraSalazar,Loser,Yes,House
Female,Georgia's 6th,Republican,Karen Handel,@RepKHandel,Loser,Yes,House
Female,Georgia's 7th,Democrat,Carolyn Bourdeaux,@Carolyn4GA7,Loser,No,House
Male,Illinois' 6th,Republican,Peter J. Roskam,@PeterRoskam,Loser,Yes,House
Male,Illinois' 12th,Democrat,Brendan Kelly,@Kelly4SouthrnIL,Loser,No,House
Female,Illinois' 13th,Democrat,Betsy Londrigan,@BetsyforIL,Loser,No,House
Male,Illinois' 14th,Republican,Randy Hultgren,@RandyHultgren,Loser,Yes,House
Male,Iowa's 1st,Republican,Rod Blum,@BlumforCongress,Loser,Yes,House
Male,Iowa's 3rd,Republican,David Young,@YoungForIowa,Loser,Yes,House
Male,Kansas' 2nd,Democrat,Paul Davis,@PaulDavisKS,Loser,No,House
Male,Kansas' 3rd,Republican,Kevin Yoder,@KevinYoder,Loser,Yes,House
Female,Kentucky's 6th,Democrat,Amy McGrath,@AmyMcGrathKY,Loser,No,House
Male,Maine's 2nd,Republican,Bruce Poliquin,@BrucePoliquin,Loser,Yes,House
Male,Michigan's 8th,Republican,Michael Bishop,@ElectMikeBishop,Loser,Yes,House
Female,Michigan's 11th,Republican,Lena Epstein,@LenaEpstein,Loser,Yes,House
Male,Minnesota's 1st,Democrat,Dan Feehan,@danielfeehan,Loser,Yes,House
Male,Minnesota's 2nd,Republican,Jason Lewis,@RepJasonLewis,Loser,Yes,House
Male,Minnesota's 3rd,Republican,Erik Paulsen,@Erik_Paulsen,Loser,Yes,House
Male,Minnesota's 8th,Democrat,Joe Radinovich,@joeradinovich,Loser,Yes,House
Female,Montana's at-large,Democrat,Kathleen Williams,@WilliamsForMT,Loser ,No,House
Female,Nebraska's 2nd,Democrat,Kara Eastman,@karaforcongress ,Loser,No,House
Male,Nevada's 3rd,Republican,Danny Tarkanian,@DannyTarkanian ,Loser,No,House
Male,Nevada's 4th,Republican,Cresent Hardy,@CresentHardy ,Loser,No,House
Male,New Hampshire's 1st,Republican,Eddie Edwards,@EddieEdwardsNH,Loser,No,House
Male,New Jersey's 2nd,Republican,Seth Grossman,@Grossman4NJ,Loser,Yes,House
Male,New Jersey's 3rd,Republican,Tom MacArthur,@tmac4congress,Loser,Yes,House
Male,New Jersey's 7th,Republican,Leonard Lance,@LeonardLanceNJ7,Loser,Yes,House
Male,New Jersey's 11th,Republican,Jay Webber,@JayWebberNJ,Loser,Yes,House
Female,New Mexico's 2nd,Republican,Yvette Herrell,@Yvette4congress,Loser,Yes,House
Male,New York's 11th,Republican,Daniel Donovan,@dandonovan_ny,Loser,Yes,House
Male,New York's 19th,Republican,John Faso,@JohnFasoNy,Loser,Yes,House
Female,New York's 22nd,Republican,Claudia Tenney,@claudiatenney,Loser,Yes,House
Male,New York's 27th,Democrat,Nate McMurray,@Nate_McMurray,Loser,No,House
Female,North Carolina's 2nd,Democrat,Linda Coleman,@LindaForNC,Loser,No,House
Male,North Carolina's 9th,Democrat,Dan McCready,@McCreadyForNC,Loser,No,House
Female,North Carolina's 13th,Democrat,Kathy Manning,@KathyManningNC,Loser,No,House
Male,Ohio's 1st,Democrat,Aftab Pureval,@AftabPureval,Loser,No,House
Male,Ohio's 7th,Democrat,Ken Harbaugh,@Team_Harbaugh,Loser,No,House
Male,Ohio's 12th,Democrat,Danny O'Connor,@dannyoconnor1,Loser,No,House
Male,Oklahoma's 5th,Republican,Steve Russell,@SteveRussellOK,Loser,Yes,House
Male,Pennsylvania's 1st,Democrat,Scott Wallace,@ScottWallacePA,Loser,No,House
Female,Pennsylvania's 5th,Republican,Pearl Kim,@PearlKimPA,Loser,Yes,House
Male,Pennsylvania's 6th,Republican,Greg McCauley,@McCauley4PA,Loser,Yes,House
Male,Pennsylvania's 7th,Republican,Marty Nothstein,@Marty_Nothstein,Loser,Yes,House
Female,Pennsylvania's 14th,Democrat,Bibiana Boerio,@Boerio4Congress,Loser,Yes,House
Male,Pennsylvania's 17th,Republican,Keith Rothfus,@KeithRothfus,Loser,Yes,House
Female,South Carolina's 1st,Republican,Katie Arrington,@karringtonsc,Loser,Yes,House
Male,Texas' 7th,Republican,John Culberson,@johnculberson,Loser,Yes,House
Female,Texas' 23rd,Democrat,Gina Ortiz Jones,@GinaOrtizJones,Loser,No,House
Male,Texas' 32nd,Republican,Pete Sessions,@SessionsforTX32,Loser,Yes,House
Female,Utah's 4th,Republican,Mia Love,@MiaBLove,Loser,Yes,House
Male,Virginia's 2nd,Republican,Scott Taylor,@Scotttaylorva,Loser,Yes,House
Female,Virginia's 5th,Democrat,Leslie Cockburn,@TeamCockburn,Loser,No,House
Male,Virginia's 7th,Republican,David Brat,@DaveBratVA7th,Loser,Yes,House
Female,Virginia's 10th,Republican,Barbara Comstock,@BarbaraComstock,Loser,Yes,House
Female,Washington's 3rd,Democrat,Carolyn Long,@ElectLong,Loser,No,House
Female,Washington's 5th,Democrat,Lisa Brown,@lisa4congress,Loser,No,House
Male,Washington's 8th,Republican,Dino Rossi,@DinoRossiWA,Loser,Yes,House
Female,Washington's 9th,Democrat,Sarah Smith,@SarahSmith2018,Loser,No,House
Male,West Virginia's 3rd,Democrat,Richard Ojeda,@VoteOjeda2020,Loser ,No,House
Male,Wisconsin's 1st,Democrat,Rendy Bryce,@IronStache,Loser,No,House
